customer_id,country,signup_date,email
1,DK,2022-01-22,user0@example.com
2,FI,2021-12-22,user1@example.com
3,SE,2023-08-18,user2@example.com
4,DK,2022-01-25,user3@example.com
5,DK,2019-09-26,user4@example.com
6,FI,2022-10-02,user5@example.com
7,SE,2019-10-02,user6@example.com
8,SE,2019-03-29,user7@example.com
9,DK,2023-03-01,user8@example.com
10,NO,2023-04-13,user9@example.com
11,DK,2019-02-13,user10@example.com
12,DK,2022-09-19,user11@example.com
13,DK,2019-07-12,user12@example.com
14,DK,2019-07-30,user13@example.com
15,FI,2023-07-31,user14@example.com
16,SE,2023-07-03,user15@example.com
17,FI,2020-01-15,user16@example.com
18,FI,2022-12-17,user17@example.com
19,FI,2022-08-27,user18@example.com
20,DK,2020-03-16,user19@example.com
21,NO,2020-06-07,user20@example.com
22,SE,2021-12-05,user21@example.com
23,NO,2021-04-15,user22@example.com
24,FI,2022-04-23,user23@example.com
25,FI,2020-08-12,user24@example.com
26,NO,2020-01-31,user25@example.com
27,NO,2019-08-06,user26@example.com
28,NO,2022-08-02,user27@example.com
29,FI,2021-03-08,user28@example.com
30,FI,2023-03-24,user29@example.com
31,SE,2023-09-01,user30@example.com
32,SE,2020-01-12,user31@example.com
33,FI,2019-02-25,user32@example.com
34,NO,2021-07-25,user33@example.com
35,NO,2023-12-01,user34@example.com
36,SE,2023-02-17,user35@example.com
37,FI,2019-09-08,user36@example.com
38,SE,2023-07-16,user37@example.com
39,SE,2023-10-25,user38@example.com
40,DK,2019-11-22,user39@example.com
41,DK,2020-12-24,user40@example.com
42,DK,2020-05-21,user41@example.com
43,NO,2021-08-21,user42@example.com
44,FI,2019-04-01,user43@example.com
45,FI,2021-01-25,user44@example.com
46,FI,2019-02-07,user45@example.com
47,FI,2021-11-30,user46@example.com
48,DK,2019-09-06,user47@example.com
49,NO,2023-02-25,user48@example.com
50,NO,2019-12-09,user49@example.com
51,DK,2019-11-24,user50@example.com
52,NO,2022-05-31,user51@example.com
53,DK,2023-06-09,user52@example.com
54,FI,2022-04-28,user53@example.com
55,DK,2023-11-10,user54@example.com
56,FI,2023-12-03,user55@example.com
57,FI,2021-02-25,user56@example.com
58,SE,2020-07-27,user57@example.com
59,DK,2023-01-22,user58@example.com
60,SE,2021-03-20,user59@example.com
61,DK,2021-12-31,user60@example.com
62,DK,2020-07-07,user61@example.com
63,SE,2019-04-11,user62@example.com
64,SE,2021-12-14,user63@example.com
65,DK,2020-08-25,user64@example.com
66,NO,2019-12-18,user65@example.com
67,FI,2022-03-22,user66@example.com
68,SE,2019-05-17,user67@example.com
69,FI,2021-08-02,user68@example.com
70,NO,2022-10-02,user69@example.com
71,NO,2021-04-02,user70@example.com
72,NO,2019-02-01,user71@example.com
73,SE,2023-05-16,user72@example.com
74,NO,2021-01-02,user73@example.com
75,SE,2023-10-23,user74@example.com
76,NO,2022-08-22,user75@example.com
77,FI,2020-07-10,user76@example.com
78,FI,2023-07-18,user77@example.com
79,DK,2022-06-17,user78@example.com
80,FI,2020-02-24,user79@example.com
81,DK,2021-07-18,user80@example.com
82,FI,2021-12-05,user81@example.com
83,SE,2020-03-06,user82@example.com
84,FI,2023-01-05,user83@example.com
85,DK,2019-09-27,user84@example.com
86,DK,2022-12-25,user85@example.com
87,NO,2019-02-18,user86@example.com
88,SE,2021-06-29,user87@example.com
89,FI,2019-06-30,user88@example.com
90,NO,2020-12-15,user89@example.com
91,FI,2020-07-06,user90@example.com
92,FI,2021-04-25,user91@example.com
93,NO,2022-05-04,user92@example.com
94,NO,2022-08-22,user93@example.com
95,NO,2019-10-17,user94@example.com
96,NO,2022-01-13,user95@example.com
97,NO,2019-11-03,user96@example.com
98,FI,2022-05-12,user97@example.com
99,NO,2023-03-12,user98@example.com
100,SE,2022-03-04,user99@example.com
101,DK,2019-08-18,user100@example.com
102,NO,2023-11-16,user101@example.com
103,NO,2023-01-17,user102@example.com
104,FI,2023-08-27,user103@example.com
105,NO,2023-03-15,user104@example.com
106,NO,2019-01-10,user105@example.com
107,NO,2019-02-06,user106@example.com
108,FI,2019-02-16,user107@example.com
109,NO,2020-03-04,user108@example.com
110,DK,2023-04-04,user109@example.com
111,FI,2022-11-26,user110@example.com
112,DK,2023-11-21,user111@example.com
113,FI,2019-02-25,user112@example.com
114,NO,2022-10-31,user113@example.com
115,DK,2022-05-03,user114@example.com
116,FI,2021-03-21,user115@example.com
117,SE,2020-10-29,user116@example.com
118,NO,2021-03-28,user117@example.com
119,FI,2020-01-27,user118@example.com
120,SE,2022-11-16,user119@example.com
121,FI,2022-01-27,user120@example.com
122,SE,2019-08-20,user121@example.com
123,NO,2020-05-14,user122@example.com
124,DK,2023-05-30,user123@example.com
125,SE,2021-10-15,user124@example.com
126,FI,2020-04-19,user125@example.com
127,NO,2022-10-28,user126@example.com
128,SE,2023-02-03,user127@example.com
129,FI,2020-07-03,user128@example.com
130,FI,2022-06-04,user129@example.com
131,FI,2022-05-29,user130@example.com
132,SE,2022-12-08,user131@example.com
133,SE,2020-06-10,user132@example.com
134,SE,2020-11-21,user133@example.com
135,DK,2022-05-09,user134@example.com
136,SE,2020-10-17,user135@example.com
137,SE,2019-09-14,user136@example.com
138,SE,2022-05-24,user137@example.com
139,DK,2023-08-28,user138@example.com
140,SE,2021-03-26,user139@example.com
141,FI,2022-08-10,user140@example.com
142,SE,2021-01-13,user141@example.com
143,FI,2019-04-04,user142@example.com
144,FI,2021-07-29,user143@example.com
145,FI,2019-01-09,user144@example.com
146,DK,2019-09-28,user145@example.com
147,DK,2023-12-06,user146@example.com
148,DK,2020-09-07,user147@example.com
149,SE,2023-01-15,user148@example.com
150,FI,2023-03-12,user149@example.com
151,DK,2021-12-31,user150@example.com
152,DK,2019-08-26,user151@example.com
153,SE,2021-11-26,user152@example.com
154,DK,2021-07-01,user153@example.com
155,SE,2023-03-25,user154@example.com
156,NO,2021-09-04,user155@example.com
157,DK,2022-12-20,user156@example.com
158,NO,2023-08-23,user157@example.com
159,SE,2020-04-27,user158@example.com
160,FI,2023-01-11,user159@example.com
161,DK,2022-08-20,user160@example.com
162,SE,2021-01-04,user161@example.com
163,FI,2022-05-31,user162@example.com
164,FI,2022-08-17,user163@example.com
165,NO,2023-11-22,user164@example.com
166,SE,2020-08-15,user165@example.com
167,FI,2019-06-05,user166@example.com
168,DK,2020-02-05,user167@example.com
169,DK,2020-07-29,user168@example.com
170,NO,2021-03-13,user169@example.com
171,FI,2021-08-23,user170@example.com
172,SE,2019-10-21,user171@example.com
173,DK,2023-06-14,user172@example.com
174,FI,2022-03-27,user173@example.com
175,FI,2021-11-17,user174@example.com
176,NO,2019-06-20,user175@example.com
177,DK,2023-01-28,user176@example.com
178,DK,2019-07-09,user177@example.com
179,SE,2020-09-04,user178@example.com
180,DK,2023-04-26,user179@example.com
181,SE,2022-09-25,user180@example.com
182,DK,2020-07-08,user181@example.com
183,NO,2020-12-04,user182@example.com
184,DK,2022-07-30,user183@example.com
185,SE,2021-12-13,user184@example.com
186,SE,2020-01-10,user185@example.com
187,NO,2019-11-09,user186@example.com
188,DK,2019-04-25,user187@example.com
189,DK,2019-03-27,user188@example.com
190,NO,2021-11-29,user189@example.com
191,DK,2023-02-13,user190@example.com
192,DK,2021-01-04,user191@example.com
193,SE,2023-02-17,user192@example.com
194,DK,2021-07-27,user193@example.com
195,DK,2023-10-25,user194@example.com
196,NO,2023-02-09,user195@example.com
197,NO,2019-07-11,user196@example.com
198,FI,2019-01-11,user197@example.com
199,SE,2021-02-01,user198@example.com
200,DK,2020-11-15,user199@example.com
201,DK,2022-11-30,user200@example.com
202,FI,2023-10-14,user201@example.com
203,DK,2023-10-20,user202@example.com
204,SE,2022-04-10,user203@example.com
205,FI,2022-08-08,user204@example.com
206,SE,2023-05-29,user205@example.com
207,FI,2019-04-21,user206@example.com
208,FI,2022-03-15,user207@example.com
209,NO,2019-09-09,user208@example.com
210,SE,2023-03-09,user209@example.com
211,DK,2020-06-06,user210@example.com
212,DK,2022-12-31,user211@example.com
213,SE,2019-08-18,user212@example.com
214,DK,2019-05-09,user213@example.com
215,DK,2020-04-12,user214@example.com
216,SE,2023-01-15,user215@example.com
217,FI,2023-04-22,user216@example.com
218,SE,2021-09-01,user217@example.com
219,FI,2019-09-15,user218@example.com
220,DK,2019-02-13,user219@example.com
221,DK,2021-02-09,user220@example.com
222,DK,2020-11-05,user221@example.com
223,NO,2019-08-16,user222@example.com
224,FI,2020-02-17,user223@example.com
225,NO,2019-09-27,user224@example.com
226,NO,2023-01-14,user225@example.com
227,SE,2023-01-10,user226@example.com
228,NO,2021-12-02,user227@example.com
229,SE,2019-07-10,user228@example.com
230,SE,2020-07-12,user229@example.com
231,NO,2022-10-16,user230@example.com
232,FI,2023-04-20,user231@example.com
233,FI,2021-12-28,user232@example.com
234,FI,2022-10-17,user233@example.com
235,FI,2023-09-18,user234@example.com
236,FI,2022-08-01,user235@example.com
237,NO,2022-10-11,user236@example.com
238,NO,2021-09-03,user237@example.com
239,DK,2023-03-21,user238@example.com
240,FI,2023-08-09,user239@example.com
241,NO,2019-11-25,user240@example.com
242,DK,2020-08-15,user241@example.com
243,FI,2023-05-17,user242@example.com
244,SE,2022-02-12,user243@example.com
245,DK,2022-04-30,user244@example.com
246,NO,2021-09-11,user245@example.com
247,SE,2019-04-30,user246@example.com
248,SE,2020-11-14,user247@example.com
249,SE,2020-03-14,user248@example.com
250,DK,2022-04-10,user249@example.com
251,NO,2022-10-03,user250@example.com
252,SE,2022-07-07,user251@example.com
253,FI,2019-09-14,user252@example.com
254,SE,2019-05-15,user253@example.com
255,SE,2020-11-14,user254@example.com
256,DK,2019-11-30,user255@example.com
257,DK,2023-07-08,user256@example.com
258,NO,2022-03-19,user257@example.com
259,FI,2021-07-09,user258@example.com
260,DK,2019-03-10,user259@example.com
261,SE,2021-12-16,user260@example.com
262,NO,2019-06-23,user261@example.com
263,SE,2021-11-22,user262@example.com
264,SE,2023-11-30,user263@example.com
265,DK,2019-02-20,user264@example.com
266,NO,2021-03-05,user265@example.com
267,FI,2023-10-13,user266@example.com
268,FI,2022-07-24,user267@example.com
269,DK,2019-11-03,user268@example.com
270,DK,2021-11-18,user269@example.com
271,NO,2021-05-18,user270@example.com
272,FI,2023-10-15,user271@example.com
273,FI,2023-02-08,user272@example.com
274,FI,2021-08-31,user273@example.com
275,SE,2021-01-07,user274@example.com
276,FI,2020-01-12,user275@example.com
277,SE,2022-04-06,user276@example.com
278,NO,2019-06-15,user277@example.com
279,SE,2023-09-10,user278@example.com
280,NO,2021-03-08,user279@example.com
281,FI,2021-03-09,user280@example.com
282,FI,2020-09-28,user281@example.com
283,NO,2023-10-10,user282@example.com
284,DK,2021-07-19,user283@example.com
285,NO,2022-12-29,user284@example.com
286,DK,2019-03-21,user285@example.com
287,SE,2023-02-17,user286@example.com
288,SE,2023-11-10,user287@example.com
289,SE,2022-07-08,user288@example.com
290,FI,2020-01-02,user289@example.com
291,SE,2023-02-22,user290@example.com
292,DK,2019-04-29,user291@example.com
293,SE,2019-02-02,user292@example.com
294,NO,2022-03-20,user293@example.com
295,NO,2019-02-22,user294@example.com
296,FI,2019-08-21,user295@example.com
297,NO,2022-06-28,user296@example.com
298,DK,2021-09-18,user297@example.com
299,SE,2021-04-02,user298@example.com
300,FI,2021-04-01,user299@example.com
301,SE,2023-08-22,user300@example.com
302,SE,2022-06-28,user301@example.com
303,DK,2020-02-06,user302@example.com
304,NO,2019-04-08,user303@example.com
305,NO,2019-10-01,user304@example.com
306,SE,2021-03-22,user305@example.com
307,FI,2021-08-29,user306@example.com
308,NO,2023-05-20,user307@example.com
309,FI,2021-12-05,user308@example.com
310,NO,2022-09-08,user309@example.com
311,FI,2021-11-08,user310@example.com
312,DK,2021-10-11,user311@example.com
313,FI,2020-09-04,user312@example.com
314,DK,2021-10-09,user313@example.com
315,DK,2019-07-27,user314@example.com
316,FI,2021-07-25,user315@example.com
317,DK,2020-01-23,user316@example.com
318,SE,2021-11-26,user317@example.com
319,DK,2023-07-08,user318@example.com
320,NO,2023-07-01,user319@example.com
321,FI,2023-05-05,user320@example.com
322,SE,2022-07-19,user321@example.com
323,FI,2022-10-05,user322@example.com
324,NO,2022-02-28,user323@example.com
325,NO,2019-09-29,user324@example.com
326,NO,2020-03-14,user325@example.com
327,DK,2023-07-16,user326@example.com
328,DK,2019-08-09,user327@example.com
329,FI,2023-11-11,user328@example.com
330,FI,2019-12-19,user329@example.com
331,SE,2023-04-28,user330@example.com
332,SE,2019-05-01,user331@example.com
333,FI,2023-10-08,user332@example.com
334,DK,2020-06-08,user333@example.com
335,NO,2022-12-14,user334@example.com
336,FI,2023-05-22,user335@example.com
337,SE,2023-08-13,user336@example.com
338,DK,2019-06-25,user337@example.com
339,FI,2021-09-30,user338@example.com
340,FI,2019-11-07,user339@example.com
341,DK,2022-06-29,user340@example.com
342,FI,2023-03-25,user341@example.com
343,DK,2023-08-25,user342@example.com
344,NO,2019-07-23,user343@example.com
345,DK,2022-10-04,user344@example.com
346,DK,2020-09-03,user345@example.com
347,DK,2019-03-26,user346@example.com
348,FI,2020-07-20,user347@example.com
349,FI,2023-02-23,user348@example.com
350,DK,2022-05-18,user349@example.com
351,FI,2021-11-04,user350@example.com
352,SE,2019-05-18,user351@example.com
353,SE,2023-01-31,user352@example.com
354,FI,2022-03-18,user353@example.com
355,FI,2019-03-09,user354@example.com
356,DK,2020-02-26,user355@example.com
357,NO,2021-09-29,user356@example.com
358,FI,2022-07-05,user357@example.com
359,SE,2020-07-15,user358@example.com
360,DK,2019-04-27,user359@example.com
361,FI,2023-08-05,user360@example.com
362,SE,2019-09-04,user361@example.com
363,SE,2023-03-15,user362@example.com
364,NO,2021-07-15,user363@example.com
365,DK,2019-10-17,user364@example.com
366,DK,2022-03-19,user365@example.com
367,NO,2019-07-23,user366@example.com
368,NO,2022-10-27,user367@example.com
369,DK,2023-08-02,user368@example.com
370,DK,2019-08-01,user369@example.com
371,FI,2022-10-12,user370@example.com
